Station,Latitude,Longitude,geometry
12520099999,50٫4333333,16٫6166666,POINT (16.6166666 50.4333333)
12530099999,50٫6166666,17٫9666666,POINT (17.9666666 50.6166666)
12540099999,50٫05,18٫2,POINT (18.2 50.05)
12550099999,50٫8166666,19٫1,POINT (19.1 50.8166666)
12560099999,50٫2333333,19٫0333333,POINT (19.0333333 50.2333333)
12566099999,50٫077731,19٫784836,POINT (19.784836 50.077731)
12570099999,50٫8166666,20٫7,POINT (20.7 50.8166666)
12575099999,50٫0333333,20٫9833333,POINT (20.9833333 50.0333333)
12580099999,50٫109958,22٫019,POINT (22.019 50.109958)
12585099999,50٫7,21٫7166666,POINT (21.7166666 50.7)
12595099999,50٫7,23٫25,POINT (23.25 50.7)
12600099999,49٫8,19,POINT (19 49.8)
1262099999,64٫8,10٫55,POINT (10.55 64.8)
12625099999,49٫3,19٫9666666,POINT (19.9666666 49.3)
12650099999,49٫2333333,19٫9833333,POINT (19.9833333 49.2333333)
12660099999,49٫6166666,20٫7,POINT (20.7 49.6166666)
12670099999,49٫7,21٫7666666,POINT (21.7666666 49.7)
12690099999,49٫4666666,22٫35,POINT (22.35 49.4666666)
12695099999,49٫8,22٫7666666,POINT (22.7666666 49.8)
1271099999,63٫457556,10٫939872,POINT (10.939872 63.457556)
12772099999,48٫0833333,20٫7666667,POINT (20.7666667 48.0833333)
12805099999,47٫6833333,16٫6,POINT (16.6 47.6833333)
12812099999,47٫283333,16٫6333333,POINT (16.6333333 47.283333)
12815099999,47٫8833333,17٫2833333,POINT (17.2833333 47.8833333)
1282099999,64٫85,11٫2333333,POINT (11.2333333 64.85)
12822099999,47٫7166667,17٫6833333,POINT (17.6833333 47.7166667)
12825099999,47٫363972,17٫50075,POINT (17.50075 47.363972)
12830099999,47٫0666666,17٫8333333,POINT (17.8333333 47.0666666)
12839099999,47٫436933,19٫255592,POINT (19.255592 47.436933)
12843099999,47٫4333333,19٫1833333,POINT (19.1833333 47.4333333)
12851099999,47٫8666666,20٫0166666,POINT (20.0166666 47.8666666)
12860099999,47٫122861,20٫2355,POINT (20.2355 47.122861)
12870099999,47٫9,20٫3833333,POINT (20.3833333 47.9)
1288099999,62٫5666666,11٫3833333,POINT (11.3833333 62.5666666)
12882099999,47٫488917,21٫615331,POINT (21.615331 47.488917)
12892099999,47٫983892,21٫692317,POINT (21.692317 47.983892)
1290099999,64٫4666667,11٫5833333,POINT (11.5833333 64.4666667)
12910099999,46٫9166666,16٫3166666,POINT (16.3166666 46.9166666)
12915099999,46٫8666666,16٫8,POINT (16.8 46.8666666)
12925099999,46٫45,16٫9666666,POINT (16.9666666 46.45)
12935099999,46٫9166667,18٫05,POINT (18.05 46.9166667)
12942099999,45٫990928,18٫240983,POINT (18.240983 45.990928)
12950099999,46٫5833333,18٫85,POINT (18.85 46.5833333)
12960099999,46٫1833333,19٫0166666,POINT (19.0166666 46.1833333)
12970099999,46٫9175,19٫749222,POINT (19.749222 46.9175)
12982099999,46٫25,20٫1,POINT (20.1 46.25)
12992099999,46٫6833333,21٫1666667,POINT (21.1666667 46.6833333)
1304099999,61٫5666666,4٫6833333,POINT (4.6833333 61.5666666)
13067099999,46٫1,19٫7666666,POINT (19.7666666 46.1)
1310099999,61٫583611,5٫024722,POINT (5.024722 61.583611)
1311099999,60٫293386,5٫218142,POINT (5.218142 60.293386)
13116099999,45٫216889,14٫570267,POINT (14.570267 45.216889)
13160099999,45٫7666666,19٫15,POINT (19.15 45.7666666)
13168099999,45٫3333333,19٫85,POINT (19.85 45.3333333)
1317099999,60٫3833333,5٫3333333,POINT (5.3333333 60.3833333)
13173099999,45٫3666666,20٫4166666,POINT (20.4166666 45.3666666)
13174099999,45٫85,20٫4666666,POINT (20.4666666 45.85)
13180099999,45٫05,21٫0333333,POINT (21.0333333 45.05)
13183099999,45٫146889,21٫309889,POINT (21.309889 45.146889)
1320099999,61٫8333333,6٫1166667,POINT (6.1166667 61.8333333)
13242099999,44٫941444,17٫297501,POINT (17.297501 44.941444)
